id	term	variants	translation	stem	forms	note	category	status	short_of
sniper_turret	Sniper Turret					Стаціонарна оборонна турель Федерації для ведення снайперського вогню.	Юніти Федерації	new	
heavy_weapon_depot	Heavy Weapon Depot					Назва споруди-депо важкого озброєння Федерації.	Зброя і техніка	new	
flamethrower_turret	Flamethrower Turret					Назва оборонної турелі з вогнеметним озброєнням.	Зброя і техніка	new	
heavy_drilling_biped	Heavy Drilling Biped					Назва важкого двоногого бурового юніта Федерації.	Юніти Федерації	new	
proximity_defense_barrage	Proximity Defense Barrage					Назва оборонної здібності механізованого юніта для обстрілу цілей поблизу.	Здібності	new	
deploy_firewall	Deploy Firewall					Назва здібності мінометного механізованого юніта, яка створює тимчасову вогняну стіну.	Здібності	new	
launch_drop_turret	Launch Drop Turret					Назва здібності мінометного механізованого юніта для запуску контейнера з туреллю.	Здібності	new	
engine_overcharge	Engine Overcharge					Здібність завислого бойового юніта, що тимчасово підіймає його над перешкодами.	Здібності	new	
abort_engine_overcharge	Abort Engine Overcharge					Здібність-команда для дострокового припинення підсилення двигуна завислого бойового юніта.	Здібності	new	
grinder	Grinder	Grinders				Завислий бойовий юніт Федерації, який після зниження до стандартної висоти знову може рухатися.	Юніти Федерації	new	
indirect_fire_barrage	Indirect Fire Barrage					Елітна здібність завислого бойового юніта, що обстрілює вибрану область непрямим вогнем.	Здібності	new	
flamethrower	Flamethrower	flamethrowers				Основне озброєння цього варіанта M11 Marauder для боротьби з численними легкими й середніми цілями.	Зброя і техніка	new	
howitzer	Howitzer					Далекобійне озброєння одного з варіантів M11 Marauder з потужним пострілом і низькою скорострільністю.	Зброя і техніка	new	
rotary_cannon	Rotary Cannon					Озброєння одного з варіантів M11 Marauder, ефективне проти броньованих цілей на середній дистанції.	Зброя і техніка	new	
mercenary_camp	Mercenary Camp	Mercenary camps				Табір або ігрова споруда, пов'язана з найманими юнітами Федерації.	Зброя і техніка	new	
liaison	Liaison	Liaison's				Юніт зв'язку Федерації, який викликає авіаційні й орбітальні удари та має постійний винищувальний ескорт.	Юніти Федерації	new	
overcharge_mode	Overcharge Mode					Overcharge Mode — режим роботи елітного HMG-юніта, у якому ця здібність недоступна.	Механіки	new	
hellraiser	Hellraiser					Hellraiser — здібність елітного HMG-юніта, пов’язана з перевантаженням двигуна та скиданням пального.	Здібності	new	
sledgehammer	Sledgehammer					Sledgehammer — мінометний двоногий бойовий юніт Федерації, який у режимі Siege веде обстріл важкими снарядами.	Юніти Федерації	new	
assault_mode	Assault Mode					Assault Mode — мобільний бойовий режим мінометного меха для дій на передовій.	Механіки	new	
proximity_defense	Proximity Defense					Захисна здібність найманців, яка розгортає приманки та перемикає юніт у режим швидкого вогню.	Здібності	new	
wolf_pack	Wolf Pack					Здібність найманця, яка розгортає двох додаткових супровідних Drone для посилення захисту.	Здібності	new	
rifle_battery_overcharge	Rifle Battery Overcharge					Здібність екзокостюма, що тимчасово посилює його стрілецьке озброєння.	Здібності	new	
overwatch_mode	Overwatch Mode					Стаціонарний режим бойового корабля, у якому він веде ракетний обстріл визначеної області.	Здібності	new	
rifle_grenade_barrage	Rifle Grenade Barrage					Назва здібності найманців для ведення опосередкованого вогню серією гранат.	Здібності	new	
deploy_field_barricade	Deploy Field Barricade					Назва здібності екзокостюма для встановлення польової барикади.	Здібності	new	
disassemble_field_barricade	Disassemble Field Barricade					Назва здібності екзокостюма для розбирання встановленої польової барикади.	Здібності	new	
electric_discharge	Electric Discharge					Назва здібності екзокостюма, що вражає електричним розрядом ворогів поблизу.	Здібності	new	
fortis_suit	Fortis Suit	Fortis suits				Модель бойового екзокостюма, з якого випускають електричні розряди.	Зброя і техніка	new	
earth	Earth					Планета, представлена як локація в меню вибору кампанії або місій.	Локації	new	
turret	Turret	turret's|turrets				Клас стаціонарної бойової турелі Федерації в розділі класів юнітів.	Юніти Федерації	new	
repair_drone	Repair Drone					Здібність механічного інженера, яка розгортає ремонтного дрона.	Здібності	new	
afterburner	Afterburner					Здібність, яка тимчасово підвищує швидкість пересування юніта.	Здібності	new	
hunter_killer	Hunter Killer					Назва досягнення, пов’язаного зі знищенням Bugs за допомогою Proximity Defense.	Загальне	new	
a_full_suit	A full suit					Назва досягнення, пов’язаного з елітними поліпшеннями Powered Suit Troopers.	Загальне	new	
rocket_retaliation	Rocket Retaliation					Назва досягнення, пов’язаного зі знищенням Scorpions ракетними турелями.	Загальне	new	
rocket_turret	Rocket Turret	Rocket Turrets				Ракетні оборонні турелі, якими потрібно знищити Scorpions у вимозі досягнення.	Зброя і техніка	new	
personal_space_enforcement	Personal space enforcement					Назва досягнення, пов’язаного з Field Barricades підрозділів Fortis E-Pulse Trooper.	Загальне	new	
field_barricade	Field Barricade	Field Barricades				Польові загородження Fortis E-Pulse Trooper, отримана якими шкода враховується для досягнення.	Здібності	new	
drilling_biped	Drilling Biped					Drilling Biped — збільшена броньована двонога машина, представлена в місії 5.	Зброя і техніка	new	
incendiary_bomb	Incendiary Bomb					Incendiary Bomb — здібність цього варіанта M11 Marauder, яка підпалює ділянку навколо місця падіння боєприпасу.	Здібності	new	
pegasus	Pegasus					Pegasus — ударний літальний апарат Федерації для атак наземних цілей, описаний у матеріалі про місію 8.	Юніти Федерації	new	
gather_point	Gather Point					Призначена гравцем точка, до якої автоматично прямують щойно придбані юніти.	Механіки	new	
reinforce	Reinforce					Ігрова дія поповнення військ, яку можна швидко активувати для юнітів із відповідною здібністю.	Здібності	new	
battle_group	Battle Group	Battle Groups|Battlegroup				Ігрові набори доступних військ і можливостей, розраховані на різні стилі гри.	Механіки	new	
cannon_turret	Cannon Turret	Cannon Turrets				Оборонна гарматна турель Федерації для захисту території від важкоброньованих ворогів.	Зброя і техніка	new	
missile_launcher_turret	Missile Launcher Turret	Missile Launcher Turrets				Оборонна ракетна турель Федерації для протидії далеким цілям.	Зброя і техніка	new	
territory_mode	Territory Mode	Territory				Ігровий режим, у якому утримання розгорнутих юнітів зменшує дохід ресурсів.	Механіки	new	
territory_point	Territory Point	Territory Points				Захоплювані й утримувані стратегічні точки в Territory Mode, що компенсують витрати на армію.	Локації	new	
line_of_fire	Line-of-Fire					Механіка видимості та можливості ведення вогню юнітом до цілі.	Механіки	new	
lof	LoF					Скорочення назви механіки лінії вогню, стан якої показує піктограма під емблемою юніта.	Механіки	new	line_of_fire
resource_point	Resource Point	Resource Points				Стратегічний об’єкт, для якого в розділі косметичних елементів території відкриваються унікальні візуальні оформлення.	Механіки	new	
hero_of_the_m_i	Hero of the M.I.					Назва унікального візуального оформлення Resource Point у розділі косметичних елементів території.	Загальне	new	
bug_bait	Bug Bait					Назва унікального візуального оформлення Resource Point у розділі косметичних елементів території.	Загальне	new	
security_pylon	Security Pylon					Назва унікального візуального оформлення Resource Point у розділі косметичних елементів території.	Загальне	new	
nuclear_waste	Nuclear Waste					Назва унікального візуального оформлення Resource Point у розділі косметичних елементів території.	Загальне	new	
tunnel	Tunnel	Tunnels				Споруда або прохід арахнідів, з якого виходять ворожі юніти.	Арахніди	new	
death_from_above	Death From Above					Унікальна косметична емблема для майданчиків висадки в розділі територіальних косметичних предметів.	Загальне	new	
give_em_hell	Give'em Hell					Унікальна косметична емблема для майданчиків висадки в розділі територіальних косметичних предметів.	Загальне	new	
law_liberty	Law & Liberty					Унікальна косметична емблема для майданчиків висадки в розділі територіальних косметичних предметів.	Загальне	new	
silent_death	Silent Death					Унікальна косметична емблема для майданчиків висадки в розділі територіальних косметичних предметів.	Загальне	new	
dr_4_desert_viking	DR-4 Desert Viking					Унікальний косметичний варіант десантного корабля в розділі територіальних косметичних предметів.	Зброя і техніка	new	
dr_4_dragonship	DR-4 Dragonship					Унікальний косметичний варіант десантного корабля в розділі територіальних косметичних предметів.	Зброя і техніка	new	
police_dropship	Police Dropship					Унікальний косметичний варіант десантного корабля в розділі територіальних косметичних предметів.	Зброя і техніка	new	
the_fumigator	The Fumigator					Унікальний косметичний варіант десантного корабля в розділі територіальних косметичних предметів.	Зброя і техніка	new	
lava_lake	Lava Lake					Назва сценарію або поля бою в користувацькому режимі Territory.	Локації	new	
dual_districts	Dual Districts					Назва сценарію або поля бою в користувацькому режимі Territory.	Локації	new	
chemical_compound	Chemical Compound					Назва сценарію або поля бою в користувацькому режимі Territory.	Локації	new	
ground_pounders	Ground Pounders					Назва Battle Group, на яку пропонує перейти навчальний діалог Territory Mode.	Механіки	new	
ground_pounders_battle_group	Ground Pounders Battle Group	Ground Pounders Battlegroup				Повна назва вибраної групи сил Ground Pounders у Territory Mode.	Механіки	new	
contract_termination	Contract Termination					Назва сценарію в розділі територіальних місій.	Загальне	new	
football_station	Football Station					Назва локації сценарію в розділі територіальних місій.	Локації	new	
carbon_colony	Carbon Colony					Назва колонії та локації сценарію в розділі територіальних місій.	Локації	new	
missile_base	Missile Base					Назва військової локації сценарію в розділі територіальних місій.	Локації	new	
missile_crater	Missile Crater					Назва локації сценарію в розділі територіальних місій.	Локації	new	
chemical_dump	Chemical Dump					Назва промислової локації сценарію в розділі територіальних місій.	Локації	new	
cliffhanger	Cliffhanger					Назва першої навчальної місії в розділі власних територіальних місій.	Загальне	new	
sand_castle	Sand Castle					Назва другої навчальної місії в розділі власних територіальних місій.	Загальне	new	
prestige	Prestige	Prestige Points				Ігровий ресурс, який здобувають за проходження місій і використовують для розблокування косметичних елементів у розділі територій.	Механіки	new	
desert_dam	Desert Dam					Назва пустельної дамби та пов’язаного з нею навчального сценарію.	Локації	new	
technology	Technology	Technologies|Techologies				Ігрові технології, які відкриваються як винагорода за проходження місії.	Технології	new	
depot	Depot					Споруда в режимі Territory Mode, яку можна розформувати та замінити іншим її типом.	Зброя і техніка	new	
arachnid_threat_level	Arachnid Threat Level					Показник загрози фракції Arachnid у режимі Territory Mode.	Механіки	new	
resource	Resource	Resources				Ігровий ресурс режиму Territory Mode, який витрачається на придбання та розвиток сил.	Механіки	new	
hellraisers	Hellraisers					Назва однієї з бойових груп, доступних у Territory Mode.	Механіки	new	
the_peacekeepers	The Peacekeepers					The Peacekeepers — назва Battle Group для Territory Mode.	Механіки	new	
pilot	Pilot	pilots|pilot's				Юніт Федерації в переліку об’єктів режиму територій.	Юніти Федерації	new	
ai_region_marker	AI Region Marker					Службовий маркер області для керування штучним інтелектом у режимі територій.	Механіки	new	
main_base	Main Base	Main Bases				Головна база гравця в Territory Mode, до якої приєднані Delivery Platform.	Юніти Федерації	new	
arachnid_escalation	Arachnid Escalation					Механіка наростання протидії Arachnid у Territory Mode.	Механіки	new	
e_pulse_88_troopers	E-Pulse 88 Troopers					Підрозділ піхоти Федерації, озброєний системами E-Pulse 88, у режимі контролю територій.	Юніти Федерації	new	
e_pulse_88	E-Pulse 88					Модель імпульсної зброї, якою оснащено відповідний підрозділ піхоти Федерації.	Зброя і техніка	new	
territory_marker	Territory Marker					Маркер ділянки території розміром 1x1 у режимі Territory Mode.	Механіки	new	
security_tower	Security Tower					Оборонна споруда, представлена як окремий об’єкт у режимі контролю територій.	Зброя і техніка	new	
rifle_recruits	Rifle Recruits					Піхотний підрозділ новобранців Федерації в режимі контролю територій.	Юніти Федерації	new	
research_site	Research Site					Дослідницький об’єкт або стратегічна точка в режимі контролю територій.	Локації	new	
cleaning_crew	Cleaning Crew	Cleaning crews				Допоміжний цивільний підрозділ у режимі контролю територій.	Юніти Федерації	new	
incident_scene	Incident Scene					Місце події, представлене як об’єкт або ділянка в режимі контролю територій.	Локації	new	
radio	Radio					Радіомодифікація снайперської турелі в територіальному режимі.	Технології	new	
sniper_rifle	Sniper Rifle					Основна далекобійна зброя снайперської турелі в описі юніта територіального режиму.	Зброя і техніка	new	
repair	Repair	repaired				Ремонтна модифікація мінометної турелі в територіальному режимі.	Здібності	new	
rate_of_fire	Rate of Fire					Поліпшення темпу стрільби гарматної турелі.	Механіки	new	
rof	ROF					Скорочене позначення посиленого темпу стрільби гарматної турелі в територіальному режимі.	Механіки	new	rate_of_fire
missile_turret	Missile Turret					Стаціонарна ракетна турель Федерації в розділі територіального режиму.	Юніти Федерації	new	
anti_air_mode	Anti-Air Mode					Режим мінометної турелі для ураження повітряних цілей.	Здібності	new	
disabled	Disabled					Стан відключеного або виведеного з ладу об’єкта в режимі контролю територій.	Механіки	new	
assign_drop_zone	Assign Drop Zone					Здібність призначення зони висадки в режимі контролю територій.	Здібності	new	
upgrade_to_tier_building	Upgrade to Tier Building					Здібність перетворення споруди на рівневу будівлю в режимі контролю територій.	Здібності	new	
tier_building	Tier Building					Рівнева будівля, потрібна для переходу на наступні бойові рівні.	Механіки	new	
bullet_containers	Bullet Containers					Технологія другого рівня для підвищення бойових характеристик підрозділів Федерації.	Технології	new	
rifle_fire_drill	Rifle Fire Drill					Технологія, пов’язана з підвищенням темпу стрільби з гвинтівок.	Технології	new	
turret_defense_doctrine	Turret Defense Doctrine					Технологія територіального режиму, яка зменшує витрати на оборонні установки.	Технології	new	
supply_depot_defense	Supply Depot Defense					Технологія територіального режиму, яка додає оборонне озброєння до складів постачання.	Технології	new	
c_n_m_e_gunsight	C.N.M.E Gunsight					Технологія прицільної системи в територіальному режимі, яка збільшує дальність стрільби снайперських підрозділів.	Технології	new	
high_explosive_ammo_storage	High-Explosive Ammo Storage					Технологія територіального режиму, яка відкриває стандартні вибухові здібності спеціалізованих підрозділів.	Технології	new	
weapons_grade_prosthetics	Weapons-Grade Prosthetics					Технологія територіального режиму, пов’язана з посиленням або здешевленням піхотних підкріплень.	Технології	new	
grenade_pouches	Grenade Pouches					Технологія першого рівня, що відкриває здібності з ручними гранатами в режимі територій.	Технології	new	
flak_vests	Flak Vests					Технологія посилення броні інженерних та інших піхотних підрозділів у режимі територій.	Технології	new	
fleet_mechanic	Fleet Mechanic	Fleet Mechanics				Ремонтно-технічний підрозділ Флоту, якому ця технологія підвищує броню.	Юніти Федерації	new	
marauder_parts_storage	Marauder Parts Storage					Технологія зберігання запчастин, яка зменшує витрати постачання підрозділів Marauder у режимі територій.	Технології	new	
advanced_crate_stacking	Advanced Crate Stacking					Технологія вдосконаленого складування, яка збільшує постачання від Supply Depot у режимі територій.	Технології	new	
shell_fragmentation_sleeve	Shell Fragmentation Sleeve					Технологія модифікації артилерійського снаряда в режимі територій.	Технології	new	
rainmaker_deploy_mode	Rainmaker Deploy Mode					Технологія, що дає M23 Rainmaker змогу переходити в режим розгортання.	Технології	new	
peacekeeper_armor_kit	Peacekeeper Armor Kit					Комплект технологічного поліпшення броні для юніта Peacekeeper Biped.	Технології	new	
freelancer_funding	Freelancer Funding					Технологія режиму територій, яка збільшує запас Funds.	Технології	new	
advance_payments	Advance Payments					Технологія режиму територій, яка збільшує запас Funds.	Технології	new	
contract_extensions	Contract Extensions					Технологія режиму територій, яка збільшує запас Funds.	Технології	new	
neo_asbestos_coating	Neo-Asbestos Coating					Технологія режиму територій, яка надає визначеним юнітам імунітет до вогневої шкоди.	Технології	new	
cave_buster_protocol	Cave Buster Protocol					Технологія, що забезпечує остаточне знищення очищених Bug Hives.	Технології	new	
thermal_imaging_goggles	Thermal Imaging Goggles					Технологія нічного бачення, що усуває обмеження огляду для визначених юнітів.	Технології	new	
e_pulse_squad	E-Pulse squad	E-Pulse squads				Загони Федерації типу E-Pulse, які ця технологія звільняє від нічних обмежень огляду.	Юніти Федерації	new	
war_bonds	War Bonds					Технологія, що надає додатковий ресурс War Support.	Технології	new	
armed_command_station	Armed Command Station					Технологія укріплення Command Station шляхом установлення оборонного озброєння.	Технології	new	
hemostasis_steel	Hemostasis Steel					Технологія, пов’язана з автоматичним відновленням броні.	Технології	new	
missile_hangar	Missile Hangar					Ракетний ангар, який потрібно зачистити в місії Chemical 1.	Локації	new	
eradicator_squad	Eradicator Squad	Eradicator squads				Загони Федерації типу Eradicator Squad, які не можна втратити в місії Chemical 1.	Юніти Федерації	new	
ghutana	Ghutana	Ghutana's|Ghutana’s				Планета, на якій відбувається місія Chemical 1.	Локації	new	
doctor_kraus	Doctor Kraus					Керівник місцевого відділу досліджень і розробок у місії Chemical 1.	Персонажі	new	
eradicator	Eradicator					Тип загонів Федерації, чиї боєприпаси спричиняють швидкий внутрішній некроз локалізованим випромінюванням.	Юніти Федерації	new	
pheromone_silo	Pheromone Silo	pheromone silos				Споруда для забезпечення роботи програми керування в місії Chemical 1.	Технології	new	
fuel_cell	Fuel Cell	fuel cells				Транспортований технологічний вантаж для заправлення пускової системи в місії Chemical 1.	Технології	new	
hydra	Hydra	Hydra's				Особливий арахнідський організм, який є ціллю у місії Chemical 10.	Арахніди	new	
eggs_cluster	Eggs Cluster					Скупчення яєць арахнідів, яке потрібно захопити у місії Chemical 10.	Арахніди	new	
neural_link	neural-link	Neural Link				Експериментальна технологія нейронного керування арахнідом у межах місії Chemical 10.	Технології	new	
hercules_program	Hercules Program					Дослідницька програма зі створення системи керування арахнідом, успіх якої оголошують у фіналі місії Chemical 10.	Технології	new	
research_division	Research Division	Research Division's				Дослідницький підрозділ, до якого передають експериментального арахніда після місії Chemical 10.	Фракції	new	
acid_grenadier	Acid Grenadier	Acid Grenadiers				Кислотний різновид далекобійного арахніда, пов’язаний із лігвом у місії Chemical 10.	Арахніди	new	
hive_queen	Hive Queen					Репродуктивна каста арахнідів, до якої належить унікальна істота в місії Chemical 10.	Арахніди	new	
pheromone_emitter	Pheromone Emitter					Пристрій для приваблення або впливу на арахнідів, використаний дослідником у місії Chemical 10.	Технології	new	
d_i_m_dart_launcher	D.I.M. Dart Launcher					Спеціальна пускова установка для ураження Hydra в місії Chemical 10.	Зброя і техніка	new	
kraus	Kraus					Персонаж, який готує активацію D.I.M. Dart Launcher у місії Chemical 10.	Персонажі	new	
d_i_m_dart	D.I.M. Dart	dart|Darts|Mind Control Dart				Спеціальний снаряд D.I.M. Dart Launcher, призначений для проникнення в нервовий стовбур Hydra в місії Chemical 10.	Зброя і техніка	new	
buzzer_nest	Buzzer Nest	Buzzer Nests				Споруди арахнідів, які потрібно знищити в місії Chemical 2.	Арахніди	new	
bug_cage	Bug Cage	Bug Cages				Споруди для утримання арахнідів, які потрібно збудувати в місії Chemical 2.	Технології	new	
xm3_c_alchemist	XM3-C Alchemist	XM3-C Alchemist bipeds|XM3-C Alchemists				Спеціалізований двоногий юніт Федерації для застосування токсичних речовин у місії Chemical 2.	Юніти Федерації	new	
nest	Nest	nests				Споруда арахнідів, яку знищують під час завдання в місії Chemical 2.	Арахніди	new	
soil_extractor	Soil Extractor					Пристрій для видобування зразків ґрунту, який потрібно розмістити в місії Chemical 2.	Технології	new	
alchemist	Alchemist	Alchemist bipeds				Новий двоногий бойовий юніт Федерації з токсичною зброєю, який наказано розгорнути в місії Chemical 2.	Юніти Федерації	new	
buzzer	Buzzer	Buzzers|Buzzer Bugs|Buzzer Drones				Летючий бойовий різновид Арахнідів, здатний прориватися крізь прогалини в обороні.	Арахніди	new	
xm3_a_raycaster	XM3-A Raycaster	XM3-A Raycaster biped|XM3-A Raycasters				Двонога бойова машина, яку відкривають у місії Chemical 3.	Зброя і техніка	new	
central_station	Central Station					Названа станція, яку потрібно захопити в місії Chemical 4.	Локації	new	
missile_mastery	Missile Mastery					Технологія, яку потрібно розблокувати в місії Chemical 4.	Технології	new	
missile_monitor	Missile Monitor					Спеціалізований підрозділ Федерації, який потрібно розгорнути в місії Chemical 4.	Юніти Федерації	new	
missile_silo	Missile Silo	missile silos|Missile Silo's				Ракетна споруда Федерації, яку потрібно розгорнути в місії Chemical 4.	Юніти Федерації	new	
silo_missile	Silo Missile	Silo Missiles				Ракети, які запускає ракетна шахта для знищення Арахнідів у місії Chemical 4.	Зброя і техніка	new	
control_center	Control Center					Об’єкт інфраструктури, захоплення якого в місії Chemical 4 відкриває доступ до ракетних шахт.	Локації	new	
missile_specialist	Missile Specialist	Missile Specialists				Спеціалізований юніт Федерації, потрібний у місії Chemical 4 для керування ракетами.	Юніти Федерації	new	
hazmat_trooper	Hazmat Trooper	Hazmat Troopers				Hazmat Trooper — спеціалізований юніт Федерації в захисному спорядженні для роботи в зонах високої радіації.	Юніти Федерації	new	
bug_nest	Bug Nest	Bug Nests				Споруди Арахнідів, позначені як цілі для знищення в місії Chemical 6.	Арахніди	new	
e_pulse_cannon	E-Pulse Cannon	E-Pulse Cannons				Гармати, які потрібно розгорнути в позначених місцях у місії Chemical 6.	Зброя і техніка	new	
emitter	Emitter					Експериментальний пристрій, який захищають під час випробувань у місії Chemical 6.	Технології	new	
fortis_eradicator	Fortis Eradicator	Fortis Eradicators				Спеціалізований різновид Eradicator, який відкривається для утримання позицій під щільним вогнем у місії Chemical 6.	Юніти Федерації	new	
mind_control	Mind Control	Mind Controlled				Стан цілі, що перебуває під контролем гравця в місії Chemical 7.	Механіки	new	
ghutana_high_security_prison	Ghutana High Security Prison					В’язниця суворого режиму на Ghutana, що є головною локацією місії Chemical 7.	Локації	new	
powered_suit_irradiator	Powered Suit Irradiator	Powered Suit Irradiators				Спеціальне озброєння Powered Suit, яке відкривається в місії Chemical 8.	Зброя і техніка	new	
pheromone_disruptor_grenade	Pheromone Disruptor grenade	Pheromone Disruptor grenades				Феромонні гранати спеціального призначення, які випробовують у місії Chemical 8.	Зброя і техніка	new	
pheromone_disruptor	Pheromone Disruptor					Експериментальна феромонна речовина в гранатах, що змінює розпізнавання цілей Арахнідами в місії Chemical 8.	Технології	new	
xm11_k_annihilator	XM11-K Annihilator	XM11-K				Бойовий юніт Федерації на шасі Marauder з ядерним реактором, який у місії Chemical 9 використовують для заряджання батарейного масиву.	Юніти Федерації	new	
power_battery	Power Battery					Місійний енергетичний пристрій, який потрібно зарядити в місії Chemical 9.	Технології	new	
mining_tunnel	Mining Tunnel					Шахтарський тунель, що є цільовою локацією місії Kwalasha 1.	Локації	new	
hq	HQ					Штаб (headquarters): командування, що видає ресурси й накази гравцеві; не плутати з Hive Queen.	Фракції	new	
very_important_person	Very Important Person						Механіки	new	
vip	VIP					Позначення важливої особи, яку належить знайти та врятувати в місії Kwalasha 2.	Механіки	new	very_important_person
hydro_plant	Hydro Plant	hydro-plant				Гідроелектростанція, яку захищають і зачищають у місії Kwalasha 3.	Локації	new	
grenade	Grenade	Grenades				Тип вибухової зброї, який відкривається через панель технологій у місії Kwalasha 3.	Зброя і техніка	new	
control_station	Control Station					Контрольна станція, яку потрібно захопити в місії Kwalasha 3.	Локації	new	
incursion_point	Incursion Point					Об’єкт режиму Territory Mode, пов’язаний із появою або вторгненням сил Arachnid.	Арахніди	new	
dam	Dam					Стратегічна дамба в секторі, контроль над якою потрібно відновити в межах завдання.	Локації	new	
incinerator	Incinerator	Incinerators				Окремий тип ворожого арахніда, якого потрібно знищити в бойовому завданні.	Арахніди	new	
sandstorm	Sandstorm					Sandstorm — погодний ефект, що обмежує видимість і доступність повітряної техніки в територіальній місії.	Механіки	new	
storm	Storm	storms				Погодна механіка місії, поточний стан якої показано в рядку цілі.	Механіки	new	
fed_intel	Fed Intel	Fed Intel's				Скорочена назва розвідувальної служби Федерації, що повідомляє про очікувану появу ворогів у навчанні територіального режиму.	Фракції	new	
the_eradicators	The Eradicators					Назва бойової групи та доповнення, пов’язаних із хімічною кампанією на Ghutana.	Механіки	new	
the_eradicators_dlc	The Eradicators DLC					Назва доповнення з хімічною тематикою, до якого належать матеріали розділу ChemicalDLCLines.	Загальне	new	
horde_handler	Horde Handler	Horde Handlers|Horde Handlers'				Спеціалізований підрозділ Федерації, що керує зграєю одурманених арахнідів у доповненні The Eradicators DLC.	Юніти Федерації	new	
m11	M11					Скорочене позначення моделі двоногої бойової платформи, експериментальною конфігурацією якої є XM11-K Annihilator.	Зброя і техніка	new	
missile_launcher	Missile Launcher	missile launchers				Ракетне озброєння, дві установки якого змонтовано на XM11-K Annihilator.	Зброя і техніка	new	
irradiator	Irradiator					Юніт Федерації, загони якого отримують посилення від ядерного реактора XM11-K Annihilator.	Юніти Федерації	new	
mutated_corpse	Mutated Corpse					Окремий тип ворожого юніта-трупа, зміненого мутацією, у розділі ChemicalDLCLines.	Арахніди	new	
irradiated_corpse	Irradiated Corpse					Окремий тип ворожого юніта-трупа, ураженого радіацією, у розділі ChemicalDLCLines.	Арахніди	new	
radiation_drone	Radiation Drone					Спеціалізований бойовий дрон із розділу ChemicalDLCLines.	Зброя і техніка	new	
reactor_booster	Reactor Booster					Іменована здатність або підсилення реактора в розділі ChemicalDLCLines.	Здібності	new	
rocket_launcher	Rocket Launcher					Багатоствольна ракетна зброя загону Missile Specialist для боротьби з важкозахищеними цілями.	Зброя і техніка	new	
xm9_b_overseer	XM9-B Overseer	XM9-B Overseer's				Важка двонога бойова машина з феромонним озброєнням у розділі ChemicalDLCLines.	Зброя і техніка	new	
fortis_e_pulse_92_troopers	Fortis E-Pulse 92 Troopers					Підрозділ бійців Федерації у розділі ChemicalDLCLines, оснащений костюмами Fortis і зброєю E-Pulse 92.	Юніти Федерації	new	
fortis	Fortis	'Fortis'				Модель бронекостюма, якою оснащено підрозділ у розділі ChemicalDLCLines.	Зброя і техніка	new	
e_pulse_92	E-Pulse 92					Модель енергетичної зброї підрозділу у розділі ChemicalDLCLines.	Зброя і техніка	new	
mass_pheromone_emitter	Mass Pheromone Emitter					Різновид технології Pheromone Emitter у матеріалах Chemical DLC.	Технології	new	
battery_array	Battery Array					Технологічний об’єкт із матеріалів Chemical DLC.	Технології	new	
buzzer_drone	Buzzer Drone					Малий крилатий різновид арахніда з матеріалів Chemical DLC.	Арахніди	new	
remote_specimen_termination	Remote Specimen Termination					Здібність із розділу ChemicalDLCLines для дистанційного знищення всіх прикріплених до загону зразків.	Здібності	new	
spitter_escort	Spitter Escort					Здібність із розділу ChemicalDLCLines для заміни супроводу загону на далекобійних арахнідів.	Здібності	new	
warrior_escort	Warrior Escort					Здібність із розділу ChemicalDLCLines для заміни супроводу загону на витриваліших арахнідів.	Здібності	new	
damage_sealing_agent	Damage-Sealing Agent					Здібність хімічного юніта із самовідновлення пошкоджень у розділі ChemicalDLCLines.	Здібності	new	
high_pressure_spray	High-Pressure Spray					Здібність хімічного юніта, що розпилює кислоту під високим тиском у розділі ChemicalDLCLines.	Здібності	new	
deploy_aerial_acid_strike	Deploy Aerial Acid Strike					Здібність виклику повітряного удару кислотою в розділі ChemicalDLCLines.	Здібності	new	
reactor_drop	Reactor Drop					Здібність повітряного скидання реактора для посилення радіаційного озброєння в розділі ChemicalDLCLines.	Здібності	new	
reactor	Reactor					Розгортаний з повітря об’єкт, що посилює радіаційну зброю розташованих поруч двоногих юнітів.	Зброя і техніка	new	
raycaster	Raycaster					Тип двоногого юніта Федерації з радіаційною зброєю, пов’язаний зі здібністю Reactor Drop.	Юніти Федерації	new	
